"","location","scale","skewness","shape"
"T+312",0.000729424169806668,0.00133852879137283,1.4117981384793,4.61138864417698
"T+313",0.000914524356677823,0.00124242271236559,1.40478056499677,4.5406324258474
"T+314",0.00109724345402588,0.00116091477662489,1.39762203053408,4.49136960964201
"T+315",0.000404154933967356,0.00120674043475207,1.41933118876268,4.49307359758289
"T+316",0.00106705103033985,0.00117097348818197,1.40300180955081,4.50486496632346
"T+317",0.00169002280502717,0.00113753739625658,1.38208998492813,4.51302752230627
"T+318",0.000238913110682571,0.00136993847948907,1.41950097251404,4.60636104127766
"T+319",0.000764271643092181,0.0012973900962446,1.40468403761927,4.582901764689
"T+320",0.00102039617017864,0.00120741631996871,1.39476831852663,4.52544519196919
"T+321",0.00159295343047818,0.00116330343034536,1.37217920965291,4.52412317889055
"T+322",-0.00010698637120766,0.00152672237384835,1.41180457912618,4.69079164064124
"T+323",0.000676039181368985,0.00160881011117295,1.3904220732405,4.82853749979305
"T+324",0.00109447412460579,0.00150788191754276,1.367733165872,4.76117994833999
"T+325",0.00117538803731014,0.00139032450316306,1.36335622479811,4.64155156346918
"T+326",0.000688010796189154,0.00139385178316834,1.39868168001218,4.60304051255943
"T+327",0.00137153418536257,0.00301359410432381,1.42709059873099,4.4588742122639
"T+328",0.00145417200806406,0.00260644405029292,1.41853252746821,4.43615340853362
"T+329",0.00152867213099315,0.00228190919484107,1.41026932444429,4.41693109453577
"T+330",0.00157219969151486,0.00202364599783186,1.40393532792582,4.40024639829423
"T+331",0.00183616202805764,0.00184502380887655,1.38566193722055,4.40910676471311
"T+332",0.00100140433030428,0.00204654047287655,1.42102115427227,4.46940054756131
"T+333",0.00111768383898066,0.00182978391855239,1.41391775684197,4.44012355972759
"T+334",0.00129375434567056,0.00165268939347484,1.4041380426762,4.42200125724542
"T+335",0.00121016135082978,0.00153618549002059,1.40705412611042,4.40638813746463
"T+336",0.000680577446962655,0.00155602612845938,1.42435912258241,4.41972142008314
"T+337",0.000904640808729257,0.001423998933201,1.41619773619559,4.40493330295798
"T+338",0.00130237768251571,0.00132834614703863,1.40226463824755,4.40705307547285
"T+339",0.00127695178837548,0.00124798008157789,1.40240966541093,4.39314877655486
"T+340",0.000303869276693226,0.00137092637458166,1.42672799680135,4.43286694500884
"T+341",0.000797622062444396,0.00128926872917265,1.4141417476685,4.43467512666766
"T+342",0.000943645270262856,0.00120196930287775,1.40864442368166,4.41304591036963
"T+343",0.000818120662199939,0.00115468970540431,1.41247825616902,4.40085041414369
"T+344",0.000976105711133201,0.00108698192950204,1.40709356687714,4.38754623388845
"T+345",-1.90745093918645e-05,0.00118734964412441,1.42807422115367,4.42022912205783
"T+346",0.000775345679588517,0.00117646363799125,1.41299020598758,4.45561661094732
"T+347",0.000965036372441258,0.00110448133903542,1.40662587479717,4.42912795085669
"T+348",0.000493783096091164,0.00111240191260944,1.4195697655461,4.42612632078061
"T+349",0.00100771804971094,0.00105744121092958,1.40685060549786,4.42203584849454
"T+350",-0.000785518558871215,0.00137435237298755,1.42916026761682,4.54059523867836
"T+351",0.000183377822557863,0.00151222412094294,1.41363969906834,4.68726642218202
"T+352",0.000623965389404448,0.00141081257828142,1.39855777676678,4.63474564750299
"T+353",0.000811692013213983,0.00130405755139543,1.39069772856944,4.55773944045889
"T+354",0.000869576422969244,0.00122162103566146,1.38935426506256,4.50235559591709
