"","location","scale","shape"
"T+359",0.000267419828560529,6.88178403731e-07,6.90031693462894
"T+360",0.000130297593653131,6.33590689833838e-07,6.9348864762929
"T+361",0.000546601004481654,5.8969754076388e-07,6.96928187644331
"T+362",-2.77687420454877e-05,5.97688875082237e-07,7.00726304761384
"T+363",0.00058681469185993,5.75754469189339e-07,7.04251720185736
"T+364",-0.000118153004570827,6.09017961282201e-07,7.08171425649287
"T+365",0.000623164718824034,6.02501204905263e-07,7.1177629621547
"T+366",0.000882493089346967,5.59647541734941e-07,7.15001657885549
"T+367",-0.000443704572371628,8.08416604195773e-07,7.19591596192134
"T+368",0.00060663441976379,8.95482615562221e-07,7.23705791702885
"T+369",5.60692811376661e-05,9.00840438401066e-07,7.27440241100883
"T+370",0.000344540370235541,7.97790341427285e-07,7.30457074034493
"T+371",0.00022766296643865,7.21444962562231e-07,7.334904607383
"T+372",0.000277643135440518,6.50399168509745e-07,7.36405082241734
"T+373",0.000193706997542901,5.97777973995358e-07,7.39338892603495
"T+374",0.00011876767865453,5.54259323098732e-07,7.42237777670953
"T+375",0.000289205004543888,5.12731794084171e-07,7.45036443578072
"T+376",0.00243398764378425,1.81932798828064e-06,7.42489194329416
"T+377",0.00104149288025684,4.56911535082914e-06,7.43186551865442
"T+378",0.000762885418071093,3.74184062169535e-06,7.46533904076571
"T+379",0.00058098760237918,3.00228274243458e-06,7.49612952088481
"T+380",0.000517613780303411,2.36753852594267e-06,7.5240785774066
"T+381",0.000443889059279624,1.91830961872522e-06,7.55184118461279
"T+382",0.000758170475011542,1.63776324683954e-06,7.58117292310871
"T+383",0.000395095673592091,1.48956797236962e-06,7.61288045587303
"T+384",0.000363131987486157,1.25500883468155e-06,7.6388974494713
"T+385",0.000329925362007892,1.07587865366254e-06,7.66453834981632
"T+386",0.000263573339410501,9.40892213089555e-07,7.69010067177817
"T+387",0.000345558079507096,8.24482517335732e-07,7.71449671732378
"T+388",0.000133045062589472,7.56478945868786e-07,7.74073532476095
"T+389",0.0012055661394861,9.12297585601547e-07,7.77919212175074
"T+390",0.00129863661965381,8.12545939677327e-07,7.80320876749675
"T+391",-0.000139575895826794,1.49068662174864e-06,7.83796899571637
"T+392",0.000343259319483575,1.310315170901e-06,7.86363477198585
"T+393",0.000206232626497498,1.14289653592606e-06,7.88752763942532
"T+394",0.000262710141687452,9.83514535893755e-07,7.90912356706824
"T+395",0.000201026098538243,8.68436927091715e-07,7.93112818939673
"T+396",0.000238467092514202,7.69196438448905e-07,7.95209203138059
"T+397",0.00032498270567448,6.88099322020051e-07,7.97254040176697
"T+398",0.000360810665758675,6.2315681906421e-07,7.99272570837212
"T+399",0.000127974418816405,5.8544643798321e-07,8.01450733520764
"T+400",0.000397186717559666,5.40626211219989e-07,8.03423474554886
"T+401",6.29338842829508e-05,5.2178147011433e-07,8.05623041110955
"T+402",0.000841708253593187,5.29854398816224e-07,8.08100671263191
"T+403",-0.000463484763272287,7.43261418501886e-07,8.11768723589977
"T+404",0.000749425086424133,8.99661893168432e-07,8.15154445765348
"T+405",6.64838028963544e-06,9.9096981196295e-07,8.18219950252201
"T+406",0.00027559350999891,8.67133414276967e-07,8.1991704483299
"T+407",0.00018150544324416,7.77719982494061e-07,8.2166853372235
"T+408",0.00031312914156422,6.94722721075302e-07,8.23273713808236
"T+409",0.000198401989760237,6.36496179240051e-07,8.24956833915342
"T+410",0.000115326992934146,5.8729788198887e-07,8.26596511752883
"T+411",0.000283592610995532,5.40058752915552e-07,8.28117258590543
"T+412",2.96148053400583e-05,5.16133919032856e-07,8.29840253711128
"T+413",0.000294629106942485,4.81985465458124e-07,8.3132079873482
"T+414",6.84030179720052e-05,4.62542283431291e-07,8.32931772201382
"T+415",0.000356204132940264,4.37360330878601e-07,8.34367145911549
"T+416",-0.000317231305172508,4.63241965779661e-07,8.36541152162609
"T+417",0.000841110359258719,5.1864099853621e-07,8.39035074323867
"T+418",-0.000636324012531182,8.24308170311535e-07,8.42277371666097
"T+419",0.00054826430154435,9.74717182617289e-07,8.4517999519768
"T+420",0.000304063344965552,8.81895868828155e-07,8.46648214297818
